order,label,output_file,source,status
1,tab:literature1,table_01_literature.tex,design/generated
2,tab:example,table_02_example.tex,design/generated
3,tab:rejectionsDA,table_03_da_rounds_main.tex,design/generated
4,tab:seada1,table_04_eada_step2_main.tex,design/generated
5,tab:seada2,table_05_eada_step3_main.tex,design/generated
6,tab:payoffs,table_06_payoffs.tex,design/generated
7,tab:demographics_summary1,table_07_sample_characteristics.tex,participant_data/generated
8,tab:demographics_comparison1,table_08_population_benchmarks.tex,participant_and_external/generated_with_documented_discrepancy
9,tab:truthtelling_main,table_09_truth_telling.tex,participant_data/generated
10,tab:quiz,table_10_quiz.tex,participant_data/generated
11,tab:obvious,table_11_obvious_mistakes.tex,participant_data/generated
12,tab:consequential,table_12_consequential.tex,participant_and_published_RM_counterfactual/generated
13,tab:consequential2,table_13_consequential_decomposition.tex,participant_and_published_RM_counterfactual/generated
14,tab:synthetic-pareto,table_14_synthetic_pareto.tex,published_recombinant_output/generated
15,tab:envy_both,table_15_justified_envy.tex,published_recombinant_output/generated
16,tab:mechanism_summary,table_16_mechanism_summary.tex,published_recombinant_output/generated
17,tab:cognitive1,table_17_cognitive_main.tex,participant_data/generated
18,tab:preferences,table_18_preferences.tex,design/generated
19,tab:priorities1,table_19_priorities.tex,design/generated
20,tab:properties1,table_20_truthful_properties.tex,design_calculation_snapshot/generated
21,tab:rejections,table_21_da_rounds_appendix.tex,design/generated
22,tab:seada1,table_22_eada_step2_appendix.tex,design/generated
23,tab:seada2,table_23_eada_step3_appendix.tex,design/generated
24,tab:firstdiff,table_24_first_deviation.tex,participant_counts_and_published_display/generated
25,tab:skip_trunc,table_25_manipulations.tex,participant_data/generated
26,tab:segregation,table_26_ability_sorting.tex,published_recombinant_output/generated
27,tab:cognitive_cde,table_27_cognitive_cde.tex,participant_data/generated
